orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
arrewarrenke,arrewarrenke,2,vi.,NA,"go, leave. Used when you are talking about someone..."
arrewatyente,arrewatyente,NA,n.,NA,mother-in-law's single women's camp
arrewe,arrewe,NA,pv.,NA,"Shows that someone is being left out of an action,..."
arrewenhamerne,arrewenhamerne,NA,dem.,NA,"the ones over there, those over there"
arrewenhe,arrewenhe,NA,dem.,NA,over there in the distance
arrewethewarle,arrewethewarle,NA,dem.,NA,towards that over there
arrey-alpenke,arrey-alpenke,NA,vt.,NA,go back and put something on or down.
arreyern-alpenke,arreyern-alpenke,NA,vt.,NA,get light (from the sun or moon rising)
arreyewe,arreyewe,2,n.,entrance,"opening, hole, door, entrance"
arrileth-arrilethe angkenke,arrileth-arrilethe angkenke,2,vi.,NA,say bad things about someone; gossip
arrilp-arrilpe,arrilp-arrilpe,2,n.,NA,very sharp; very pointed
arrilpankwe,arrilpankwe,NA,n.,NA,big piece of bark <em>karntape</em> used as tray
arrilpaylpe,arrilpaylpe,NA,n.,NA,"needles of a tree, spikes"
arrilpe,arrilpe,3,n.,NA,"sharp, pointed"
arrilpenke,arrilpenke,3,vt.,NA,perform ceremony that allows someone to talk again...
arrimpere,"Arrimpere, arrimpere",NA,n.,NA,place on Rtwerrpe country near Neutral Junction st...
arrinte,arrinte,NA,n.,NA,toothpick
arritarerrantye,arritarerrantye,NA,vt.,NA,"learn how to do something by watching someone, lea..."
arritne,arritne,3,n.,NA,"song, verse"
arrkale,Arrkale,NA,n.,NA,place north of Bottom Bore on Arnerre country
