orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
aketnpe,aketnpe,NA,n.,NA,newly ripened fruit of the native currant <em>ahak...
aketyarre,Aketyarre,2,n.,NA,Kityarr. People of Harts Range area.
akewentyenke,akewentyenke,NA,vi.,NA,rise (dust or dirt)
akewethewe,akewethewe,NA,n.,headache,headache
akey-akeyenteyane,akey-akeyenteyane,NA,vi.,NA,"cry continuously for something, bawl. The way babi..."
akey-akeyewe,akey-akeyewe,NA,n.,NA,"upset, inconsolable"
akeyalthe,akeyalthe,NA,n.,NA,"cry-baby, sook"
akeyapert-errpenke,akeyapert-errpenke,NA,vt.,make_someone_cry,do something to someone so that they end up in tea...
akeyarre,akeyarre,NA,n.,NA,dry tobacco leaves
akeyel-arrenke,akeyel-arrenke,2,vt.,NA,cry in mourning together (plural)
akikngwerarrerrane,akikngwerarrerrane,NA,vi.,be_busy,be busy or occupied doing something
akikngwerinenke,akikngwerinenke,NA,vt.,NA,make someone busy
akilpelhilpelhe,akilpelhilpelhe,NA,pv.,NA,Goes before some transitive verbs to show that the...
akinte,akinte,3,n.,NA,flowers of the bean tree <em>tyweretye</em> and so...
akiwarenye,akiwarenye,NA,n.,NA,young man who looks after initiates in bush camp
akiwe,akiwe,NA,NA,NA,bush camp for young men who are initiates
akiwelawelapenke,akiwelawelapenke,NA,vi.,NA,"fall down, collapse (of tree or house)"
akngakenke,akngakenke,2,vt.,divide,"divide something up, divvy up, sort out, pick out,..."
aknganenhe,aknganenhe,NA,vi.,NA,originate from a particular place in the Dreaming
aknganentye,aknganentye,2,n.,NA,place where something originated from in the Dream...
akngap-akngaparrenke,akngap-akngaparrenke,2,vi.,NA,"sway, move back and forth in the wind"
akngap-akngapinenke,akngap-akngapinenke,NA,vt.,NA,make something sway or flap
akngapetyarrenke,akngapetyarrenke,2,vi.,NA,"change, metamorphise, turn into something else"
akngapetyinenke,akngapetyinenke,3,vt.,turn_over,turn something over
akngenpe,akngenpe,NA,n.,NA,"fresh place, place where people haven't been for s..."
akngkenginenke,akngkenginenke,3,vt.,NA,send a message through someone else; communicate w...
akngkwene,akngkwene,NA,n.,NA,Major Mitchell's cockatoo
akngwakarrenke,akngwakarrenke,2,vi.,wobble,"move, wobble"
akngwakaylenke,akngwakaylenke,2,vt.,bump_someone,bump someone or something so that they wobble or s...
akngwakelhaylenke,akngwakelhaylenke,NA,vt.,NA,"make something move, shake or wobble; fidget"
akngwe,akngwe,3,n.,NA,deaf
akngwelenite,akngwelenite,NA,n.,NA,east
akngwepange,akngwepange,NA,n.,NA,child too young to talk properly and understand pe...
akngwerrelenye,akngwerrelenye,NA,n.dir.,eastern,"east side, eastern edge"
akngwerrelepenhe,akngwerrelepenhe,NA,n.dir.,far_east,far east; long way east
akngwertarenge,Akngwertarenge,NA,n.,NA,place on Crawford Range country
akngwerte,akngwerte,2,n.,NA,initiate. Young male at a certain stage of initiat...
akwatnhenke,akwatnhenke,NA,vt.,NA,"pester, keep humbugging someone about something"
akwe,akwe,2,n.,NA,arm
akwelake,Akwelake,NA,n.,NA,soakage west of <em>Arlepwartele</em>
akwelherre,akwelherre,NA,n.,NA,pouch of marsupial
akwelp-akwenke,akwelp-akwenke,2,vt.,NA,"put something in, cover something over, put someth..."
akweltyayte,akweltyayte,NA,n.,misteltoe_grub,edible grub in the mistletoe called <em>aytankerne...
akweltye,akweltye,2,n.,NA,armband made of hairstring worn by men on their bi...
akwely-akwelye,akwely-akwelye,NA,n.,NA,"samphire, brown-head glasswort"
akwelye,akwelye,NA,n.,NA,"rain, rain cloud."
akwen-akwene,akwen-akwene,2,n.,NA,fan-flowers.
akwenke,akwenke,4,vt.,insert,"insert, put inside, put into"
akwepenhe,akwepenhe,NA,n.,NA,vein in lower arm which men cut to get blood out w...
akwerantye,Akwerantye,NA,n.,NA,place on Hanson River where it meets with Ti Tree ...
akwerelhaylenke,akwerelhaylenke,6,vt.,NA,"force something or someone in somewhere, put someo..."
akwererrererre,akwererrererre,NA,n.,NA,"small dark edible grubs, the larval stage of vario..."
akwerlpe,Akwerlpe,NA,n.,NA,name of a country extending north from Wauchope ar...
akwernterrenge,akwernterrenge,NA,n.,NA,baby sand goanna
akwerr-akwerre,akwerr-akwerre,NA,n.,piedish_beetle,piedish beetle
akwerrakwerre,Akwerrakwerre,NA,n.,NA,place near Barrow Creek
akwerre,akwerre,2,n.,coolamon,coolamon used for carrying a baby; wooden dish. Ma...
akwerrepenhe,akwerrepenhe,NA,n.,NA,baby still young enough to fit in a coolamon
akwerretethe,akwerretethe,NA,n.,desert_truffle,"desert truffle, native truffle"
akwerrke,akwerrke,4,n.,NA,"baby, young animal or person"
akwerrkepenhe,akwerrkepenhe,NA,n.,NA,newborn baby
akwerrkilpelharrenke,akwerrkilpelharrenke,NA,vt.,NA,breed (of animals)
akwerrpe,akwerrpe,2,n.,NA,"ignorant, not knowing, inexperienced"
akwertatyeng-atyengarranenke,Akwertatyeng-atyengarranenke,NA,n.,NA,place south of Barrow Creek
akwerterrpe,akwerterrpe,4,n.,NA,short cut
akwertitenge,akwertitenge,NA,n.,rainbow_snake,rainbow serpent. Large mythical snake that lives i...
akwetelhaylewene,akwetelhaylewene,NA,n.,NA,type of grey beetle with small horns
akwetelhe,akwetelhe,2,n.,NA,"desert sedge, lukarrara."
akwethinenke,akwethinenke,2,vt.,pile_up,"pile something up, make into a mound or clump"
akwetyakaylenke,akwetyakaylenke,4,vt.,NA,"look after someone, care for someone; look after a..."
akwetyerre,akwetyerre,NA,kin.,NA,young girl who is a man's classificatory mother-in...
akwetyerre-tyerre,akwetyerre-tyerre,NA,n.,SG,"bad luck, something dangerous. People avoid doing ..."
akwetyerrepenke,akwetyerrepenke,NA,vt.,NA,make someone have bad luck by doing something wron...
akwey-alpenke,akwey-alpenke,NA,vt.,NA,return and put something in
akwitakenke,akwitakenke,NA,vt.,peep,look from behind something with only head showing;...
akwitelinenge,akwitelinenge,NA,n.,NA,men who have a particular role at initiation cerem...
alakalperre,Alakalperre,NA,n.,NA,place east of Murray Downs
alakare,alakare,2,n.,NA,young dog dog not quite fully grown
alaletnhenke,alaletnhenke,NA,vt.,NA,"find a good place to camp, choose a good place to ..."
alalinenke,alalinenke,NA,vt.,NA,"hammer or knock something in, such as a nail or po..."
alangkwe,alangkwe,NA,NA,NA,bush banana
alanty-alantye,alanty-alantye,NA,adv.,NA,(doing something) while waiting for others; (do so...
alantye,alantye,NA,adv.,regardless,"anyway, regardless, heedless. Goes before some ver..."
alanye,alanye,2,n.,NA,fighting hook or pick
alapanpe,Alapanpe,NA,n.,NA,name of a country extending west of Akalperre. It ...
alapate,alapate,NA,NA,NA,everyone
alarranenke,alarranenke,NA,vi.,NA,"go single file, follow directly behind"
alarrenke,alarrenke,9,vt.,hit,"hit, bash, whack or beat someone or something"
alarreye,Alarreye,NA,n.,NA,waterhole north of Stirling Station
alartnentye,Alartnentye,NA,n.,NA,Willowra creek
alatyite,alatyite,NA,n.,NA,soft spinifex
alaye,"alaye |1, alaye |2",NA,n.,NA,"sea, ocean, lake, large expanse of water."
alayterane,alayterane,NA,vi.,NA,"sit in a group, sit around (many people)"
alekapere,alekapere,3,n.,NA,various medium sized raptors that kill smaller bir...
alekarenge,Alekarenge,3,n.,NA,Ali-Curung community (previously called Warrabri)....
alekarrakenhe,Alekarrakenhe,NA,n.,NA,place near Kurrundi station
aleke,aleke,2,n.,dog,dog
alekelpaltherre,alekelpaltherre,NA,n.,spring_water,spring water; water that comes out from undergroun...
alekenhenge,alekenhenge,NA,n.,NA,a dog with its owner
alekilparte,alekilparte,NA,n.,NA,"dog-eye bush tomato, bony-fruited bush tomato"
alelaperte,alelaperte,2,part.,NA,"not yet, soon, wait"
alele,alele,4,adv.,NA,"for a short time, not for long"
alelpaye,Alelpaye,NA,n.,NA,place on Arnerre country
alem-aleme,alem-aleme,NA,n.,NA,"pregnant, expecting a baby"
alemarntwe,alemarntwe,NA,NA,NA,initial stages of pregnancy
aleme,aleme,5,n.,NA,"stomach, tummy, abdomen"
alemelayethe,alemelayethe,NA,adv.,NA,face down; on the stomach
alemepenhe,alemepenhe,NA,n.,NA,"woman's child, sister's child"
alemerre,alemerre,NA,n.,NA,Spencer's burrowing frog
alemewane,alemewane,NA,n.,NA,"dessert, sweet food to end off a meal"
alemewethewe,alemewethewe,NA,n.,NA,stomach-ache
alenentye,alenentye,NA,adv.,as_support,(do something) by supporting yourself with somethi...
alenke,alenke,2,vt.,protrude,sticking up or out causing something else not to b...
alenye,"alenye |1, alenye |2",2,n.,flood water,tongue
alenyenpekwenke,alenyenpekwenke,NA,vt.,NA,stick your tongue out
alepale,alepale,3,n.,unaware,"unaware, in ignorance, not knowing about something..."
aleperentye,aleperentye,NA,n.,NA,type of short male spirit that walks around at nig...
alepetyenke,alepetyenke,2,vi.,NA,taste something
aleraperapere,aleraperapere,4,n.,NA,various medium sized raptors that kill smaller bir...
alerrke,alerrke,NA,n.,NA,eggs of honeyants <em>yerrampe</em> and certain ot...
alete,alete,NA,adv.,NA,"deep (sleep), fast (asleep)"
aleterrpeterrpe,aleterrpeterrpe,NA,n.,NA,rufous whistler
alethange,alethange,2,n.,NA,"stranger, newcomer, foreigner, someone whom you do..."
aletharre,aletharre,NA,n.,NA,"first born, eldest sibling"
alethele,alethele,NA,n.,long time,for a very long time
aletherrenye,aletherrenye,2,n.,NA,"for good, permanently, for a long time"
alethew-atnenke,alethew-atnenke,NA,vi.,NA,want to go back
alethewathathe,alethewathathe,NA,n.,NA,ready to go off on a long journey
alety-aletye,alety-aletye,NA,adv.,NA,"wounded, injured (of an animal)"
aletye,aletye,3,n.,wounded,"wounded, injured"
alewantye,Alewantye,NA,n.,NA,place name
alewe,alewe,2,part.,hey,Well I never! Gee! Really! Exclamation of disbelie...
alewertame,alewertame,NA,part.,NA,"hey, well, listen!"
alewetnhenke,alewetnhenke,NA,vt.,NA,ask someone to do something; invite someone along
aleyake,aleyake,2,n.,teenage_girl,"teenage girl, adolescent girl"
aleye,aleye,NA,n.,NA,edible seeds of the coolibah tree
alharrkwe,alharrkwe,NA,n.,NA,dust storm that comes before rain
alhekere,alhekere,2,n.,dislike,"dislike, don't want or like something"
alhengkweltye,alhengkweltye,NA,n.,NA,"things, belongings, possessions"
alhepalhe,alhepalhe,2,n.,NA,waxy wattle
alhewapelarrenke,alhewapelarrenke,NA,vi.,NA,drown
alhewere,alhewere,NA,n.,confident,"confident, outgoing, without feeling shamed, witho..."
alhilenke,alhilenke,2,vt.,remove,"undo, take something off or down, loosen; remove o..."
alhingke,alhingke,NA,n.,NA,large king brown snake (mulga snake)
alhwenge,alhwenge,2,n.,hole,hole in the ground dug by a person or an animal
alhwenke,alhwenke,NA,n.,NA,swollen (eye)
alhwer-alhwere,alhwer-alhwere,NA,n.,NA,"swollen, puffed up"
alhwere,alhwere,2,n.,NA,white inner skin of the bush banana <em>lkwarrere<...
alhwerrke,alhwerrke,NA,n.,muddy water,"muddy, dirty water"
alhwete,alhwete,NA,n.,NA,"burrowing bettong, boodie"
alim-alime,alim-alime,2,n.,NA,"shiny, sparkling"
alitarre,alitarre,NA,n.,NA,flattened patch of grass where rabbits sleep durin...
alite,alite,NA,n.,NA,fork in trees where people put food so that it doe...
alkanye,alkanye,NA,pv.,NA,using your arm to rest on. Goes before verbs such ...
alkaperte,alkaperte,8,n.,alright,"Generally, <strong>alkaperte</strong> signals a ch..."
alkarte aperinenke,alkarte aperinenke,NA,vt.,NA,take or bring someone or something after talking a...
alkenh-alkenhe,alkenh-alkenhe,2,n.,NA,"big, wide or long things"
alkenham-alkenhame,alkenham-alkenhame,NA,adv.,NA,"gradually getting bigger, bigger bit by bit"
alkenhe,alkenhe,10,n.,NA,big
alkenhengenye,alkenhengenye,NA,n.,NA,"oldest, biggest"
alkentherle,alkentherle,NA,n.,lots (people or animals),lots of people or animals
alkerampe,alkerampe,NA,n.,NA,sweet gum on mulga trees
alkerarenye,Alkerarenye,2,n.,NA,God
alkerarle,alkerarle,NA,adv.,NA,high in the air or sky
alkere,alkere,3,n.,NA,sky
alkerel-aperte,alkerel-aperte,NA,n.,NA,"loudly, louder"
alkerey-alkereye,alkerey-alkereye,NA,n.,NA,"egg white, albumen"
alketh-alkethe,alketh-alkethe,NA,n.,NA,type of striped beetle eaten by emus
alkeyawarre,alkeyawarre,2,n.,respect behaviour,the appropriate behaviour of people who are in an ...
alkeye,alkeye,2,n.,room,room to move
alkeyinenke,alkeyinenke,NA,vt.,NA,"leave nothing behind, take or eat everything so th..."
alkwemp-alkwempe,alkwemp-alkwempe,NA,n.,NA,"things that are old and tattered, such as blankets..."
alkwempe,alkwempe,2,n.,NA,someone who doesn't take care of their appearance;...
alkwenke,alkwenke,NA,vi.,NA,wait for something or someone to do something befo...
alkwerilpe,alkwerilpe,3,n.,NA,"a clearing in the bush, open space"
alkwerre,Alkwerre,NA,n.,NA,place east of the railway line on Rtwerrpe country...
alkwit-alkwite,alkwit-alkwite,NA,n.,NA,country that is dry and cracked
alkwite,"Alkwite, alkwite",NA,n.,NA,"Bluebush, swamp north-east of Home of Bullion on K..."
alpalp-angenke,alpalp-angenke,NA,vt.,NA,trample or disturb ground. Only cattle do this; wh...
alpantharrenke,alpantharrenke,NA,vi.,spread across,"spread out, spread across, be covered with somethi..."
alpanthinenke,alpanthinenke,NA,vt.,NA,spread things out
alpantywerle,alpantywerle,4,n.,NA,various types of woodswallows
alparalye,alparalye,NA,n.,NA,"long, straight hair"
alpare,alpare,NA,NA,NA,"rat-tail goosefoot, green crumbweed"
alparre,alparre,NA,n.,NA,"material, cloth that hasn't been sewn"
alpenke,alpenke,5,vi.,return,"go back, return, go home"
alpenkerne,alpenkerne,NA,vi.,NA,"come back, return in the direction of the person s..."
alpenkeye,alpenkeye,2,n.,native tomato,"native tomato, potato bush"
alperinenke,alperinenke,NA,vt.,take_back,take or bring something back
alperninenke,alperninenke,NA,vt.,bring_back,take or bring something back; moving in the direct...
alperrantyeye,alperrantyeye,2,n.,native tomato,"native tomato, potato bush"
alperre,alperre,5,n.,NA,"leaf, leaves"
alperrernenyengele,alperrernenyengele,NA,NA,NA,while coming back
alperrernenyengewanenye,alperrernenyengewanenye,NA,NA,NA,"didn't come back, won't come back, can't come back..."
alperrernenyewethe,alperrernenyewethe,NA,NA,NA,should come back
alperrernenyeyayne,alperrernenyeyayne,NA,NA,NA,used to come back
alperrernenyeye,alperrernenyeye,NA,NA,NA,"will come back, will be coming back"
alperrty-alperrtye,alperrty-alperrtye,2,n.,NA,spread out
alperrtye,alperrtye,3,n.,scattered,"everywhere, spread out, scattered"
alpeyart-alpeyarte,alpeyart-alpeyarte,2,n.,NA,singing honeyeater
alpeyaytenke,alpeyaytenke,NA,vi.,arrive_back,"come back, arrive back"
alpeyenteyane,alpeyenteyane,3,vi.,go past,"walk past, travel past, go past the person speakin..."
alpeyern-alpenke,alpeyern-alpenke,NA,vt.,NA,come back; return in the direction of the person s...
alpit-alpite,alpit-alpite,NA,n.,NA,types of small plants with lots of flowers
alpite,alpite,2,n.,NA,flower
alpwartenke,alpwartenke,NA,vt.,NA,"dig something out, lift or prise something up (in ..."
alpwelye,alpwelye,3,n.,NA,"flat, deflated, wilted, dried up"
altharr-akwinenke,altharr-akwinenke,NA,vt.,NA,make a track by travelling back and forth
althe,althe,2,n.,NA,"track, pad or path made by kangaroos, euros or cat..."
althekalthe,althekalthe,NA,n.,NA,"lively, healthy"
althenke,althenke,5,vi.,NA,scrape off fur
alther-althere,alther-althere,2,n.,NA,"homesick, lonely (plural)"
althere,althere,NA,n.,homesick,"homesick, lonely"
altherrke,altherrke,NA,n.,a leak,have a hole or a leak
althilenke,althilenke,3,vt.,NA,fight people
althwalthe,althwalthe,3,n.,flimsy,wood eaten by termites. This is often found in hol...
altwele,altwele,NA,n.dir.,NA,west
altwelenite,altwelenite,NA,n.dir.,NA,west
altweleny-altwelenye,altweleny-altwelenye,NA,n.dir.,NA,north-west
altwelenye,altwelenye,NA,n.dir.,west-side,west side; western side
altyakwerre,altyakwerre,NA,n.,NA,sweet white substance made by the lerp scale insec...
altyanenke,altyanenke,4,vi.,NA,"bend over, crouch"
altyarrenke,"altyarrenke |1, altyarrenke |2",9,vi.,excited,"excited, happy, pleased"
altye,altye,NA,n.,NA,"relation, member of the same cultural or social gr..."
altyek-altyeke,altyek-altyeke,NA,n.,NA,"old and wrinkled, wizened, flabby slack skin (of p..."
altyeleye,altyeleye,3,kin.,NA,female cross-cousin (father's sister's or mother's...
altyerr-ampetye,Altyerr-ampetye,NA,n.,NA,"ancestors, things from the creation time"
altyerrarenge,Altyerrarenge,2,n.,NA,something from the Dreamtime
altyerre,"Altyerre, altyerre",7,n.,NA,creation time and its eternal existence; time when...
altyerrelampenye,Altyerrelampenye,NA,n.,NA,stories from the Dreamtime
altyerrelayethe,Altyerrelayethe,NA,n.,NA,"from the Dreamtime, established in the Dreamtime, ..."
altyerrepenhe,"altyerrepenhe, Altyerrepenhe",2,n.,NA,"always, since the beginning"
altyerrepentye,Altyerrepentye,NA,n.,NA,"ritual road, Dreaming track, Dreaming line"
altyerrinenke,altyerrinenke,2,vt.,NA,"have a dream, receive something in a dream"
altyeye,altyeye,1,n.,NA,leaf of the bush banana <em>lkwarrere</em>. This c...
altywarte,altywarte,2,n.,NA,"native millet, Australian millet, native panic"
alwel-alwel-arrenke,alwel-alwel-arrenke,NA,vt.,NA,chase lots of things round and round
alwel-aytenke,alwel-aytenke,2,vt.,NA,"approach someone to see what they want, or to see ..."
alwelp-alwenke,alwelp-alwenke,NA,vi.,NA,catch something after chasing it; catch up with so...
alwenarrenke,alwenarrenke,NA,vi.,NA,turn and go back the same way
alwene,alwene,NA,adv.,return,"(do something) on the return, while returning."
alwengayenke,alwengayenke,NA,vt.,ask,ask
alwengkarrenke,alwengkarrenke,NA,vi.,forget about,forget about something
alwengke,alwengke,NA,pv.,NA,"forgetfully, absentmindedly"
alwengkelarrenke,alwengkelarrenke,3,vt.,forget something,"forget something, leave something behind"
